Patch,PSNR,SSIM,RMSE,SAM
69,4.183351431660287,-0.017077183,0.6177780032157898,1.2851035594940186
70,4.325194846857151,-0.033563443,0.6077713966369629,1.3209412097930908
71,4.42223954324618,0.024559379,0.6010187864303589,1.0674985647201538
72,4.175069134852009,-0.034078445,0.6183673143386841,1.377387285232544
73,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
74,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
75,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
76,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
77,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
78,6.116326319401778,0.06240715,0.49451979994773865,1.037293553352356
79,7.258867662409684,0.09088337,0.4335674047470093,0.7544986009597778
80,4.6698296082815185,-0.012394656,0.5841286778450012,1.2163093090057373
81,4.430975853868675,-0.04816315,0.600414514541626,1.2990009784698486
82,4.700097797432693,-0.041231602,0.5820966362953186,1.2649129629135132
83,4.3872790429670525,-0.023229396,0.6034427285194397,1.258553385734558
84,4.715023970644175,-0.020344501,0.5810972452163696,1.2296510934829712
85,3.8173974330511253,-0.05748057,0.6443622708320618,1.4464750289916992
86,5.282130196148134,0.06497114,0.5443691611289978,0.7537863254547119
87,5.022693896164686,-0.04317394,0.5608739852905273,1.25846266746521
88,5.7156329718995655,0.018574232,0.5178671479225159,1.0817594528198242
89,4.586355715289256,0.03609507,0.5897693634033203,0.9774150848388672
90,6.808728821960583,0.07449264,0.45662903785705566,0.8477623462677002
91,7.068578955346726,0.07636965,0.4431707262992859,0.7979339361190796
92,5.448434503652152,0.014492775,0.5340455174446106,1.1602692604064941
93,4.6719394278221245,0.004802525,0.5839868187904358,1.1984766721725464
94,5.169882168383869,0.024209045,0.5514496564865112,1.0174555778503418
95,4.263664604129643,-0.018554881,0.6120920777320862,1.2693032026290894
96,6.175001912649131,0.10444502,0.49119043350219727,0.7201042175292969
97,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
98,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
99,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
100,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
101,6.547425761408013,0.018123992,0.47057482600212097,1.4866148233413696
102,7.4756566366980515,0.1127876,0.42288002371788025,0.7705180644989014
103,2.0664477958994465,-0.18784845,0.7882747054100037,1.9368832111358643
104,5.878585238043776,0.011235694,0.5082422494888306,1.0128840208053589
105,3.658896682011359,-0.07738364,0.6562286615371704,1.4790929555892944
106,5.551398795279583,0.075296484,0.5277522206306458,0.8424352407455444
107,3.9922869087363697,-0.107904136,0.6315179467201233,1.5130211114883423
108,4.412997079909746,-0.02654323,0.6016585826873779,1.3630378246307373
109,5.376570082622038,-0.046417896,0.5384823679924011,1.2813959121704102
110,5.734750742229617,0.03324768,0.5167285203933716,0.9695422053337097
111,6.094718691153983,0.0049837977,0.4957515299320221,1.1383564472198486
112,2.319119373890152,-0.17194559,0.7656742334365845,1.9314332008361816
113,3.5343608710391927,-0.047758352,0.6657052636146545,1.455162525177002
114,6.634147291465221,0.077779815,0.4658999443054199,0.8255220055580139
115,6.42442679539641,0.11082301,0.4772859811782837,0.8567992448806763
116,4.288457686513371,-0.076322734,0.6103474497795105,1.4443585872650146
117,4.576447691078732,-0.0064231106,0.5904424786567688,1.2560901641845703
118,5.6503121336745465,0.03244794,0.5217763781547546,0.9571131467819214
119,5.052083808605209,0.070127346,0.5589793920516968,0.754260778427124
120,6.604646895335586,0.12636147,0.4674849808216095,0.8042009472846985
121,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
122,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
123,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
124,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
125,7.459159919810019,0.07138961,0.42368394136428833,1.1876490116119385
126,5.776937294754325,0.029871628,0.5142249464988708,1.029367446899414
127,4.698209893032618,-0.008631418,0.5822232365608215,1.1952354907989502
128,5.500509224111965,0.037763055,0.5308533310890198,0.9654014706611633
129,5.101992479675074,0.013304964,0.5557767748832703,1.1186246871948242
130,3.660547327280648,-0.05573206,0.6561039090156555,1.3737785816192627
131,8.46357012716114,0.16953965,0.37741702795028687,0.6041519641876221
132,6.535075683002595,0.09072747,0.4712443947792053,0.7975317239761353
133,6.627507453799302,0.072870076,0.46625617146492004,0.8567716479301453
134,4.614472391806797,-0.0076293177,0.5878633260726929,1.12493097782135
135,4.90244968357863,0.053796243,0.5686925053596497,0.9375827312469482
136,4.705420657035589,-0.021145558,0.5817400813102722,1.2555673122406006
137,4.8949425813382375,-0.046118047,0.5691842436790466,1.339179515838623
138,5.914029265950945,0.05403769,0.5061724781990051,0.9372862577438354
139,6.501816063645638,0.110654496,0.47305235266685486,0.7265510559082031
140,5.380025030893135,-0.0009920647,0.5382682085037231,1.1181609630584717
141,4.669572149531822,0.016705042,0.5841460227966309,1.1315438747406006
142,4.485437481184565,-0.008035247,0.5966616272926331,1.2482062578201294
143,4.77850248915317,0.056802567,0.5768659114837646,0.8294496536254883
144,4.327872639571617,0.051560532,0.6075840592384338,1.1814992427825928
145,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
146,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
147,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
148,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
149,6.338014900629688,0.121716894,0.48205795884132385,0.9130872488021851
150,5.538473452991202,0.026141278,0.528538167476654,0.9991650581359863
151,5.273321045842318,0.0024196256,0.5449215173721313,1.1392579078674316
152,2.248543284291942,-0.14083897,0.7719209790229797,1.8410508632659912
153,5.337988497750765,0.016877547,0.5408795475959778,1.187145471572876
154,4.3591495905011985,-0.05863893,0.6054001450538635,1.3210369348526
155,6.690973080078686,0.08100044,0.4628618061542511,0.8021392226219177
156,8.641711406570078,0.16156937,0.3697552978992462,0.6147323846817017
157,5.662354353984355,-0.00605309,0.5210534930229187,1.128730297088623
158,5.749356362068541,0.09832149,0.515860378742218,0.7345709800720215
159,5.58258059565674,0.10956999,0.5258610248565674,0.6244299411773682
160,4.629786157421455,0.05165845,0.58682781457901,0.9358004331588745
161,5.377313866412932,0.058501124,0.5384362936019897,0.993891716003418
162,5.236390881466217,0.09571435,0.5472432971000671,0.8505656719207764
163,4.653507917511056,-0.071405046,0.5852273106575012,1.433847188949585
164,4.289445304239221,-0.050807714,0.6102780103683472,1.407214879989624
165,5.195913312112347,0.013783087,0.5497995018959045,1.1089779138565063
166,4.691966429416227,0.0025860544,0.5826418399810791,1.1683024168014526
167,2.2229078241422355,-0.17479622,0.7742025852203369,1.9984220266342163
168,6.100878063649971,0.027423812,0.4954001307487488,1.4604897499084473
169,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
170,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
171,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
172,6.176179658778269,0.00028574295,0.49112385511398315,1.5706653594970703
173,3.5975613800689277,-0.017799987,0.6608789563179016,1.3920185565948486
174,3.7361452013306975,-0.09745767,0.6504182815551758,1.5521883964538574
175,3.764705550036857,-0.1051807,0.6482831239700317,1.6055843830108643
176,5.98067720020172,0.043946955,0.502303421497345,0.9678990840911865
177,5.90881387689623,0.052646462,0.5064765214920044,0.9643287658691406
178,7.678270372084494,0.12937854,0.4131297469139099,0.7131217122077942
179,3.9832850772736634,-0.043913335,0.632172703742981,1.3967257738113403
180,7.173634096370822,0.091988206,0.4378429055213928,0.8236072063446045
181,4.562743623298379,-0.061890278,0.5913748145103455,1.383164644241333
182,3.541049389234599,-0.18001471,0.6651927828788757,1.8743126392364502
183,4.466388460588436,0.0095575405,0.5979716181755066,1.1930747032165527
184,3.7004448902733134,-0.11803528,0.6530970931053162,1.6673564910888672
185,5.111813181808857,0.055578683,0.555148720741272,0.9961764216423035
186,5.471537812246039,0.09772358,0.5326269268989563,0.7430278062820435
187,4.759255535879768,-0.061240643,0.5781456232070923,1.423764944076538
188,6.567854639984456,0.08164322,0.4694693684577942,0.7647079229354858
189,5.696211215653032,0.040810887,0.5190263986587524,0.9532358646392822
190,5.324705660424298,0.029547585,0.5417073369026184,0.9929686784744263
191,7.798716831384227,0.165965,0.4074404835700989,0.7374575138092041
192,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
193,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
194,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
195,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
196,5.1283011333172475,0.035087068,0.5540958642959595,1.384666919708252
197,6.62874422985259,0.061361764,0.46618980169296265,0.9385259747505188
198,5.947726010255416,0.018151194,0.5042126178741455,1.0258290767669678
199,5.971311449897785,0.021034151,0.5028453469276428,1.0452990531921387
200,7.3729318767480345,0.08710486,0.4279109537601471,0.8189729452133179
201,5.333941582733707,0.013369341,0.5411316752433777,1.092583179473877
202,6.48673117656608,0.072452165,0.47387462854385376,0.8327944874763489
203,2.6422189292175857,-0.12013608,0.7377157807350159,1.8242918252944946
